Ziehungstag;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Stern1;Stern2;Rang;Zahlen;Sterne;Europa;Österreich;Quoten;
Di. 02.01.2024;7;15;18;46;49;10;12;1;5;2;JP;JP;  40.104.043,00;
;;;;;;;;2;5;1;           0;           0;wird dem Rang 5+0 zugeschlagen;
;;;;;;;;3;5;0;           5;           0;     123.090,60;
;;;;;;;;4;4;2;           6;           1;       6.052,50;
;;;;;;;;5;4;1;         404;          25;         165,50;
;;;;;;;;6;3;2;         822;          57;          86,00;
;;;;;;;;7;4;0;       1.142;          53;          43,50;
;;;;;;;;8;2;2;      12.774;         787;          19,40;
;;;;;;;;9;3;1;      19.434;       1.227;          14,20;
;;;;;;;;10;3;0;      54.361;       2.891;           9,40;
;;;;;;;;11;1;2;      67.547;       4.465;           9,20;
;;;;;;;;12;2;1;     286.826;      17.248;           6,80;
;;;;;;;;13;2;0;     841.787;      43.445;           3,70;
Fr. 05.01.2024;4;7;18;39;50;3;8;1;5;2;JP;JP;  53.860.692,50;
;;;;;;;;2;5;1;           2;           0;     359.048,50;
;;;;;;;;3;5;0;           7;           1;      23.975,80;
;;;;;;;;4;4;2;          59;           2;         886,00;
;;;;;;;;5;4;1;         749;          36;         128,50;
;;;;;;;;6;3;2;       2.001;          96;          50,80;
;;;;;;;;7;4;0;       1.713;          90;          41,70;
;;;;;;;;8;2;2;      32.990;       1.495;          10,80;
;;;;;;;;9;3;1;      35.938;       1.852;          11,10;
;;;;;;;;10;3;0;      77.956;       4.125;           9,50;
;;;;;;;;11;1;2;     166.715;       7.627;           5,30;
;;;;;;;;12;2;1;     538.106;      26.531;           5,20;
;;;;;;;;13;2;0;   1.133.782;      57.364;           4,00;
Di. 09.01.2024;2;9;12;39;40;1;3;1;5;2;JP;JP;  64.655.929,70;
;;;;;;;;2;5;1;           1;           0;     563.511,30;
;;;;;;;;3;5;0;           7;           0;      18.814,50;
;;;;;;;;4;4;2;          19;           2;       2.159,00;
;;;;;;;;5;4;1;         572;          34;         132,10;
;;;;;;;;6;3;2;       1.256;          84;          63,60;
;;;;;;;;7;4;0;       1.323;          62;          42,40;
;;;;;;;;8;2;2;      19.412;       1.174;          14,40;
;;;;;;;;9;3;1;      27.088;       1.527;          11,50;
;;;;;;;;10;3;0;      60.687;       3.345;           9,60;
;;;;;;;;11;1;2;     100.262;       5.755;           7,00;
;;;;;;;;12;2;1;     407.111;      22.211;           5,40;
;;;;;;;;13;2;0;     904.413;      48.172;           3,90;
Fr. 12.01.2024;16;17;18;45;49;9;12;1;5;2;JP;JP;  78.232.869,20;
;;;;;;;;2;5;1;           3;           0;     281.236,60;
;;;;;;;;3;5;0;          10;           1;      19.718,80;
;;;;;;;;4;4;2;          41;           2;       1.498,00;
;;;;;;;;5;4;1;         674;          36;         167,80;
;;;;;;;;6;3;2;       1.434;          60;          83,40;
;;;;;;;;7;4;0;       1.682;         104;          49,90;
;;;;;;;;8;2;2;      22.939;       1.104;          18,30;
;;;;;;;;9;3;1;      33.053;       1.616;          14,10;
;;;;;;;;10;3;0;      78.911;       3.689;          11,00;
;;;;;;;;11;1;2;     125.191;       6.150;           8,40;
;;;;;;;;12;2;1;     531.557;      23.901;           6,20;
;;;;;;;;13;2;0;   1.282.524;      56.379;           4,10;
Di. 16.01.2024;10;18;21;33;45;8;12;1;5;2;           1;           0;  87.952.574,00;
;;;;;;;;2;5;1;           3;           0;     201.336,70;
;;;;;;;;3;5;0;          22;           1;       6.416,60;
;;;;;;;;4;4;2;          30;           1;       1.465,60;
;;;;;;;;5;4;1;         858;          38;          94,40;
;;;;;;;;6;3;2;       1.203;          74;          71,10;
;;;;;;;;7;4;0;       2.054;         101;          29,20;
;;;;;;;;8;2;2;      16.758;       1.081;          17,90;
;;;;;;;;9;3;1;      30.461;       1.678;          11,00;
;;;;;;;;10;3;0;      76.506;       4.096;           8,10;
;;;;;;;;11;1;2;      87.790;       5.629;           8,60;
;;;;;;;;12;2;1;     410.612;      23.705;           5,80;
;;;;;;;;13;2;0;   1.035.293;      57.499;           3,70;
Fr. 19.01.2024;27;28;44;48;50;7;12;1;5;2;           1;           0;  17.000.000,00;
;;;;;;;;2;5;1;           3;           0;     215.402,70;
;;;;;;;;3;5;0;           5;           0;      30.205,90;
;;;;;;;;4;4;2;          27;           0;       1.742,20;
;;;;;;;;5;4;1;         515;          23;         168,20;
;;;;;;;;6;3;2;       1.212;          67;          75,50;
;;;;;;;;7;4;0;       1.228;          58;          52,40;
;;;;;;;;8;2;2;      17.992;         885;          17,80;
;;;;;;;;9;3;1;      26.591;       1.267;          13,50;
;;;;;;;;10;3;0;      59.382;       2.786;          11,20;
;;;;;;;;11;1;2;      97.560;       4.579;           8,20;
;;;;;;;;12;2;1;     414.068;      18.625;           6,10;
;;;;;;;;13;2;0;     952.524;      43.142;           4,30;
Di. 23.01.2024;14;23;39;48;50;3;12;1;5;2;JP;JP;  17.000.000,00;
;;;;;;;;2;5;1;           1;           0;     482.958,10;
;;;;;;;;3;5;0;           2;           1;      56.437,60;
;;;;;;;;4;4;2;          18;           0;       1.953,20;
;;;;;;;;5;4;1;         451;          26;         143,60;
