Datum;Reihenfolge;Zahl1;Zahl2;Zahl3;Zahl4;Zahl5;Zahl6;ZZ;Zusatzzahl;Rang_1_5;Anzahl_1_5;a_1_5;Quote_1_5;Rang_2_6;Anzahl_2_6;a_2_6;Quote_2_6;Rang_3_7;Anzahl_3_7;a_3_7;Quote_3_7;Rang_4_8;Anzahl_4_8;a_4_8;Quote_4_8;
03.01.;aufsteigend;3;15;16;19;21;27;ZZ;20;6er;JP;;         650.998,10;5er + ZZ;               3;à;          29.294,90;5er;              69;à;           1.320,80;4er + ZZ;             175;à;             167,30;
03.01.;;;;;;;;;;4er;           4.082;à;              41,80;3er + ZZ;           4.241;à;              17,20;3er;          59.771;à;               4,90;ZZ;         156.118;à;               1,30;
07.01.;aufsteigend;1;9;14;15;20;35;ZZ;3;6er;               2;à;         761.132,00;5er + ZZ;JP;;         117.620,80;5er;              85;à;           1.435,00;4er + ZZ;             271;à;             144,60;
07.01.;;;;;;;;;;4er;           4.165;à;              54,90;3er + ZZ;           6.566;à;              14,90;3er;          67.655;à;               5,80;ZZ;         237.265;à;               1,30;
10.01.;aufsteigend;21;33;36;37;41;43;ZZ;2;6er;               1;à;       1.000.000,00;5er + ZZ;               5;à;          41.221,50;5er;              74;à;           1.240,00;4er + ZZ;             195;à;             151,20;
10.01.;;;;;;;;;;4er;           2.978;à;              57,70;3er + ZZ;           3.893;à;              18,90;3er;          49.022;à;               6,00;ZZ;         185.712;à;               1,30;
12.01.;aufsteigend;4;7;8;18;31;42;ZZ;43;6er;               1;à;       1.000.000,00;5er + ZZ;               2;à;          40.403,70;5er;              45;à;           1.862,20;4er + ZZ;             136;à;             198,00;
12.01.;;;;;;;;;;4er;           3.418;à;              45,90;3er + ZZ;           3.511;à;              19,10;3er;          52.766;à;               5,10;ZZ;         133.669;à;               1,30;
14.01.;aufsteigend;6;14;15;16;25;39;ZZ;33;6er;               1;à;       1.000.000,00;5er + ZZ;JP;;          82.784,70;5er;              74;à;           1.160,10;4er + ZZ;             156;à;             176,80;
14.01.;;;;;;;;;;4er;           2.792;à;              57,60;3er + ZZ;           4.052;à;              17,00;3er;          47.611;à;               5,80;ZZ;         149.778;à;               1,30;
17.01.;aufsteigend;7;21;26;31;42;43;ZZ;44;6er;JP;;         612.046,20;5er + ZZ;DJP;;         165.411,00;5er;              60;à;           1.428,10;4er + ZZ;             123;à;             223,90;
17.01.;;;;;;;;;;4er;           3.138;à;              51,10;3er + ZZ;           3.526;à;              19,50;3er;          51.438;à;               5,30;ZZ;         137.664;à;               1,30;
21.01.;aufsteigend;3;16;27;31;40;42;ZZ;25;6er;DJP;;       1.477.457,70;5er + ZZ;               2;à;         141.120,70;5er;              89;à;           1.361,30;4er + ZZ;             234;à;             166,40;
21.01.;;;;;;;;;;4er;           4.508;à;              50,30;3er + ZZ;           5.281;à;              18,40;3er;          70.891;à;               5,50;ZZ;         199.610;à;               1,30;
24.01.;aufsteigend;4;8;14;16;35;42;ZZ;25;6er;3JP;;       2.341.900,50;5er + ZZ;               6;à;          19.449,90;5er;              71;à;           1.704,50;4er + ZZ;             208;à;             187,00;
24.01.;;;;;;;;;;4er;           4.584;à;              49,50;3er + ZZ;           5.553;à;              17,50;3er;          70.362;à;               5,50;ZZ;         198.366;à;               1,30;
28.01.;aufsteigend;9;17;26;28;31;41;ZZ;13;6er;4JP;;       3.502.080,30;5er + ZZ;               8;à;          19.578,00;5er;             132;à;           1.230,40;4er + ZZ;             390;à;             133,80;
28.01.;;;;;;;;;;4er;           6.146;à;              49,50;3er + ZZ;           8.385;à;              15,50;3er;          96.972;à;               5,40;ZZ;         278.336;à;               1,30;
31.01.;aufsteigend;17;21;22;28;35;36;ZZ;37;6er;5JP;;       4.775.762,10;5er + ZZ;               4;à;          42.986,70;5er;             114;à;           1.564,10;4er + ZZ;             320;à;             179,10;
31.01.;;;;;;;;;;4er;           6.164;à;              54,20;3er + ZZ;           7.697;à;              18,60;3er;         102.391;à;               5,60;ZZ;         278.054;à;               1,30;
04.02.;aufsteigend;3;5;9;17;25;38;ZZ;45;6er;               3;à;       2.174.563,80;5er + ZZ;               7;à;          33.710,00;5er;             210;à;           1.165,20;4er + ZZ;             497;à;             158,20;
04.02.;;;;;;;;;;4er;           9.833;à;              46,60;3er + ZZ;          11.922;à;              16,40;3er;         156.277;à;               5,00;ZZ;         404.584;à;               1,30;
07.02.;aufsteigend;3;4;20;37;40;42;ZZ;8;6er;JP;;         666.948,20;5er + ZZ;               3;à;          30.012,60;5er;              46;à;           2.029,80;4er + ZZ;             163;à;             184,10;
07.02.;;;;;;;;;;4er;           2.861;à;              61,10;3er + ZZ;           4.477;à;              16,70;3er;          49.193;à;               6,10;ZZ;         179.838;à;               1,30;
09.02.;aufsteigend;2;3;8;20;21;31;ZZ;35;6er;DJP;;       1.351.998,20;5er + ZZ;               2;à;          46.240,80;5er;             105;à;             913,30;4er + ZZ;             154;à;             200,10;
09.02.;;;;;;;;;;4er;           3.945;à;              45,50;3er + ZZ;           4.038;à;              19,00;3er;          61.648;à;               5,00;ZZ;         149.179;à;               1,30;
11.02.;aufsteigend;2;14;16;21;37;41;ZZ;10;6er;3JP;;       2.109.938,00;5er + ZZ;               3;à;          34.107,20;5er;              54;à;           1.965,00;4er + ZZ;             178;à;             191,60;
11.02.;;;;;;;;;;4er;           3.363;à;              59,10;3er + ZZ;           4.953;à;              17,20;3er;          56.315;à;               6,00;ZZ;         208.287;à;               1,30;
14.02.;aufsteigend;2;21;22;27;34;37;ZZ;25;6er;               1;à;       3.121.348,40;5er + ZZ;JP;;         136.540,40;5er;              91;à;           1.556,00;4er + ZZ;             249;à;             182,70;
14.02.;;;;;;;;;;4er;           4.619;à;              57,40;3er + ZZ;           6.150;à;              18,50;3er;          80.951;à;               5,60;ZZ;         239.963;à;               1,30;
18.02.;aufsteigend;13;18;23;29;30;42;ZZ;19;6er;               1;à;       1.000.000,00;5er + ZZ;               6;à;          39.655,80;5er;              78;à;           1.348,00;4er + ZZ;             192;à;             176,00;
18.02.;;;;;;;;;;4er;           3.433;à;              57,40;3er + ZZ;           5.148;à;              16,40;3er;          56.849;à;               5,90;ZZ;         192.937;à;               1,30;
21.02.;aufsteigend;7;8;21;23;26;40;ZZ;30;6er;JP;;         639.945,40;5er + ZZ;               1;à;          86.392,60;5er;              65;à;           1.378,30;4er + ZZ;             193;à;             149,20;
21.02.;;;;;;;;;;4er;           3.502;à;              47,90;3er + ZZ;           4.634;à;              15,50;3er;          56.029;à;               5,10;ZZ;         142.521;à;               1,30;
25.02.;aufsteigend;3;8;10;14;29;35;ZZ;45;6er;DJP;;       1.533.118,60;5er + ZZ;               3;à;          40.192,70;5er;              96;à;           1.302,50;4er + ZZ;             230;à;             174,70;
25.02.;;;;;;;;;;4er;           4.744;à;              49,40;3er + ZZ;           5.763;à;              17,40;3er;          77.306;à;               5,20;ZZ;         204.720;à;               1,30;
