date,jackpot_eur,delta_from_prev_eur,jackpot_won,jackpot_winners,numbers
2017-01-01,2022895,,True,1,4 15 24 27 39 41 33
2017-01-08,1818008,1047047,True,1,4 27 29 30 39 42 15
2017-01-25,3185928,-1426295,True,2,3 7 34 35 36 39 30
2017-01-29,1000000,-2185928,True,1,8 11 15 22 24 25 3
2017-02-05,1922613,1167645,True,1,6 7 30 32 41 44 19
2017-02-08,500000,-1422613,True,2,3 9 12 16 19 27 26
2017-02-12,1000000,500000,True,1,9 10 25 36 38 40 4
2017-02-15,1000000,0,True,1,8 11 33 35 38 42 16
2017-03-01,4485804,1423171,True,1,1 2 10 17 24 41 45
2017-03-05,1000000,-3485804,True,1,9 20 22 27 40 45 4
2017-03-19,2274690,-760020,True,2,5 11 16 19 27 33 39
2017-03-29,2970846,1131905,True,1,5 28 32 33 34 43 36
2017-04-02,1000000,-1970846,True,1,2 3 19 31 34 39 16
2017-04-12,2938442,1130768,True,1,2 6 13 30 35 44 1
2017-04-16,1000000,-1938442,True,1,3 7 20 31 39 43 19
2017-04-19,1000000,0,True,1,10 18 25 30 33 41 45
2017-05-07,2034734,-2236396,True,3,12 16 32 37 42 45 29
2017-05-10,1000000,-1034734,True,1,1 5 16 29 35 39 45
2017-05-21,3004829,1222565,True,1,12 25 26 27 29 35 19
2017-05-24,1000000,-2004829,True,1,8 13 28 29 31 40 25
2017-06-07,4175210,1246042,True,1,1 6 10 12 33 34 19
2017-06-14,905200,61306,True,2,7 12 17 27 37 45 25
2017-06-28,4159887,1287252,True,1,5 13 16 31 34 39 6
2017-07-02,1000000,-3159887,True,1,1 7 16 18 21 22 2
2017-07-16,1422810,-1397212,True,3,12 14 18 23 28 37 39
2017-07-19,1000000,-422810,True,1,4 6 16 34 36 43 32
2017-08-02,4218113,1313787,True,1,7 8 29 34 37 41 24
2017-08-13,2969016,1198739,True,1,5 7 18 29 32 38 43
2017-08-20,1718397,1040934,True,1,7 13 17 18 32 37 20
2017-08-23,1000000,-718397,True,1,19 23 24 38 39 41 37
2017-08-27,333333,-666667,True,3,3 4 5 7 20 33 41
2017-09-03,1755105,1055358,True,1,3 11 13 15 39 40 37
2017-09-06,1000000,-755105,True,1,4 7 11 18 23 36 35
2017-09-13,574537,-241974,True,3,5 14 23 27 31 45 29
2017-09-17,1000000,425463,True,1,2 11 15 29 32 44 3
2017-09-27,2701040,1028117,True,1,9 26 32 35 37 43 18
2017-10-18,8363617,2241322,True,1,14 16 19 22 39 41 10
2017-10-22,1000000,-7363617,True,1,7 30 31 36 38 39 12
2017-10-29,1680225,943334,True,1,4 9 24 26 29 33 41
2017-11-08,2843645,1081684,True,1,15 18 20 29 30 41 25
