date,jackpot_eur,delta_from_prev_eur,jackpot_won,jackpot_winners,numbers
2017-01-01,2022895,,True,1,4 15 24 27 39 41 33
2017-01-04,770961,-1251934,False,,8 9 34 39 41 45 26
2017-01-08,1818008,1047047,True,1,4 27 29 30 39 42 15
2017-01-11,750465,-1067543,False,,4 10 13 20 26 30 18
2017-01-15,1911533,1161068,False,,21 26 30 32 35 42 9
2017-01-18,3097591,1186058,False,,1 8 13 24 33 37 3
2017-01-22,4612223,1514632,False,,12 25 28 39 41 43 44
2017-01-25,3185928,-1426295,True,2,3 7 34 35 36 39 30
2017-01-29,1000000,-2185928,True,1,8 11 15 22 24 25 3
2017-02-01,754968,-245032,False,,14 20 24 26 31 36 35
2017-02-05,1922613,1167645,True,1,6 7 30 32 41 44 19
2017-02-08,500000,-1422613,True,2,3 9 12 16 19 27 26
2017-02-12,1000000,500000,True,1,9 10 25 36 38 40 4
2017-02-15,1000000,0,True,1,8 11 33 35 38 42 16
2017-02-19,863525,-136475,False,,12 23 24 31 34 43 29
2017-02-22,1821643,958118,False,,12 17 19 30 39 44 42
2017-02-26,3062633,1240990,False,,1 15 16 19 22 42 18
2017-03-01,4485804,1423171,True,1,1 2 10 17 24 41 45
2017-03-05,1000000,-3485804,True,1,9 20 22 27 40 45 4
2017-03-08,740998,-259002,False,,9 13 19 21 27 29 7
2017-03-12,1857718,1116720,False,,8 12 18 24 25 44 19
2017-03-15,3034710,1176992,False,,1 14 18 27 30 40 12
2017-03-19,2274690,-760020,True,2,5 11 16 19 27 33 39
2017-03-22,746590,-1528100,False,,14 23 32 38 44 45 33
2017-03-26,1838941,1092351,False,,3 24 28 37 40 42 27
2017-03-29,2970846,1131905,True,1,5 28 32 33 34 43 36
2017-04-02,1000000,-1970846,True,1,2 3 19 31 34 39 16
2017-04-05,724911,-275089,False,,4 8 22 25 26 31 13
2017-04-09,1807674,1082763,False,,3 13 19 29 40 43 4
2017-04-12,2938442,1130768,True,1,2 6 13 30 35 44 1
2017-04-16,1000000,-1938442,True,1,3 7 20 31 39 43 19
2017-04-19,1000000,0,True,1,10 18 25 30 33 41 45
2017-04-23,823699,-176301,False,,1 4 10 21 32 44 12
2017-04-26,1745716,922017,False,,5 6 11 19 27 44 17
2017-04-30,3004992,1259276,False,,20 28 30 32 40 41 19
2017-05-03,4271130,1266138,False,,3 8 27 32 42 43 15
2017-05-07,2034734,-2236396,True,3,12 16 32 37 42 45 29
2017-05-10,1000000,-1034734,True,1,1 5 16 29 35 39 45
2017-05-14,855261,-144739,False,,5 8 9 32 33 35 2
2017-05-17,1782264,927003,False,,6 17 20 24 25 34 16
2017-05-21,3004829,1222565,True,1,12 25 26 27 29 35 19
2017-05-24,1000000,-2004829,True,1,8 13 28 29 31 40 25
2017-05-28,779386,-220614,False,,16 20 23 33 37 44 26
2017-05-31,1691292,911906,False,,3 10 11 13 28 43 5
2017-06-04,2929168,1237876,False,,6 14 30 37 42 43 13
2017-06-07,4175210,1246042,True,1,1 6 10 12 33 34 19
2017-06-11,843894,-3331316,False,,2 6 21 27 34 45 16
2017-06-14,905200,61306,True,2,7 12 17 27 37 45 25
2017-06-18,793607,-111593,False,,1 6 18 22 31 33 41
2017-06-21,1714970,921363,False,,9 10 12 14 44 45 6
2017-06-25,2872635,1157665,False,,4 17 18 24 36 41 38
2017-06-28,4159887,1287252,True,1,5 13 16 31 34 39 6
2017-07-02,1000000,-3159887,True,1,1 7 16 18 21 22 2
2017-07-05,712545,-287455,False,,11 19 27 35 37 38 10
2017-07-09,1752825,1040280,False,,7 8 21 30 33 44 37
2017-07-12,2820022,1067197,False,,2 10 17 21 25 45 29
2017-07-16,1422810,-1397212,True,3,12 14 18 23 28 37 39
2017-07-19,1000000,-422810,True,1,4 6 16 34 36 43 32
2017-07-23,812553,-187447,False,,17 23 24 30 32 34 21
2017-07-26,1725108,912555,False,,1 17 23 24 30 44 11
2017-07-30,2904326,1179218,False,,8 12 19 24 35 44 22
2017-08-02,4218113,1313787,True,1,7 8 29 34 37 41 24
2017-08-06,826548,-3391565,False,,4 15 16 19 27 39 43
2017-08-09,1770277,943729,False,,3 10 25 36 39 42 31
2017-08-13,2969016,1198739,True,1,5 7 18 29 32 38 43
2017-08-16,677463,-2291553,False,,21 22 23 26 28 34 8
2017-08-20,1718397,1040934,True,1,7 13 17 18 32 37 20
2017-08-23,1000000,-718397,True,1,19 23 24 38 39 41 37
2017-08-27,333333,-666667,True,3,3 4 5 7 20 33 41
2017-08-30,699747,366414,False,,1 14 22 27 32 37 41
2017-09-03,1755105,1055358,True,1,3 11 13 15 39 40 37
2017-09-06,1000000,-755105,True,1,4 7 11 18 23 36 35
2017-09-10,816511,-183489,False,,14 17 26 34 40 44 3
2017-09-13,574537,-241974,True,3,5 14 23 27 31 45 29
2017-09-17,1000000,425463,True,1,2 11 15 29 32 44 3
2017-09-20,681111,-318889,False,,2 7 11 18 20 24 42
2017-09-24,1672923,991812,False,,1 12 31 32 38 43 27
2017-09-27,2701040,1028117,True,1,9 26 32 35 37 43 18
2017-10-01,831545,-1869495,False,,4 6 16 18 24 38 1
2017-10-04,1827744,996199,False,,14 26 32 33 36 37 40
2017-10-08,3057935,1230191,False,,10 13 26 34 37 45 6
2017-10-11,4368975,1311040,False,,5 13 26 29 33 41 40
2017-10-15,6122295,1753320,False,,6 7 9 14 28 44 2
2017-10-18,8363617,2241322,True,1,14 16 19 22 39 41 10
2017-10-22,1000000,-7363617,True,1,7 30 31 36 38 39 12
2017-10-25,736891,-263109,False,,8 18 21 32 35 36 9
2017-10-29,1680225,943334,True,1,4 9 24 26 29 33 41
2017-11-01,692084,-988141,False,,1 3 4 27 33 35 10
2017-11-05,1761961,1069877,False,,5 8 16 19 22 40 36
2017-11-08,2843645,1081684,True,1,15 18 20 29 30 41 25
2017-11-12,843518,-2000127,False,,2 17 34 40 43 44 1
2017-11-15,594988,-248530,True,3,2 5 7 19 27 40 6
2017-11-19,833446,238458,False,,2 14 19 23 40 41 31
2017-11-22,1757806,924360,False,,1 3 6 12 16 42 40
2017-11-26,2908974,1151168,False,,1 4 6 23 30 45 32
2017-11-29,4174727,1265753,True,1,5 11 15 20 21 26 25
2017-12-03,838999,-3335728,False,,3 15 23 30 33 37 42
2017-12-06,1790119,951120,False,,15 26 31 39 43 44 2
2017-12-10,2881657,1091538,False,,7 11 21 22 25 37 3
2017-12-13,4191061,1309404,False,,2 5 10 25 28 42 36
2017-12-17,5836617,1645556,False,,11 27 28 31 36 37 33
2017-12-20,8050489,2213872,False,,13 33 34 35 36 39 23
2017-12-24,6118478,-1932011,True,2,7 8 14 33 38 40 2
2017-12-27,710195,-5408283,False,,3 5 26 31 35 41 22
2017-12-31,2113645,1403450,True,1,10 22 33 37 43 45 31
2018-01-03,742274,-1371371,False,,8 22 25 26 32 45 6
2018-01-07,1790819,1048545,False,,26 31 32 37 39 41 25
2018-01-10,976535,-814284,True,3,3 7 25 27 31 41 21
2018-01-14,1000000,23465,True,1,1 3 30 33 37 43 10
2018-01-17,743122,-256878,False,,9 14 15 17 31 42 3
2018-01-21,1781497,1038375,False,,11 12 14 24 31 44 22
2018-01-24,2831804,1050307,True,1,2 4 8 14 35 43 12
2018-01-28,818009,-2013795,False,,13 22 30 34 35 45 27
2018-01-31,887519,69510,True,2,3 15 23 26 38 40 35
2018-02-04,1000000,112481,True,1,2 17 19 22 34 38 6
2018-02-07,702179,-297821,False,,6 13 22 25 36 41 3
2018-02-11,1711967,1009788,True,1,3 12 30 34 37 40 45
2018-02-14,684258,-1027709,False,,9 10 12 28 32 40 39
2018-02-18,1681427,997169,True,1,1 12 14 30 35 40 29
2018-02-21,672696,-1008731,False,,1 16 23 29 33 37 42
2018-02-25,1645198,972502,False,,1 10 11 20 32 39 23
2018-02-28,2639487,994289,False,,3 21 22 32 36 40 2
2018-03-04,3972885,1333398,True,1,7 12 28 32 34 39 33
2018-03-07,702887,-3269998,False,,1 18 26 27 32 42 16
2018-03-11,1726220,1023333,False,,3 6 10 20 28 33 32
2018-03-14,2745774,1019554,False,,7 10 12 35 37 38 28
