date,jackpot_eur,delta_from_prev_eur,jackpot_won,jackpot_winners,numbers
2017-01-24,88587275,7243330,True,1,1 5 7 17 23 3 8
2017-01-31,25880509,8880509,True,1,3 4 17 23 44 6 9
2017-02-14,23570709,-14209817,True,2,2 10 24 40 44 3 10
2017-02-17,17000000,-6570709,True,1,19 25 33 36 48 2 9
2017-03-14,80571199,6692640,True,1,3 5 21 36 44 3 6
2017-04-11,83397527,6745088,True,1,5 21 22 31 49 2 8
2017-06-02,153873716,13910975,True,1,8 10 24 33 42 3 9
2017-06-30,100000000,20796023,True,1,17 35 39 47 50 6 8
2017-07-07,28975630,11975630,True,1,11 20 35 37 45 3 6
2017-07-11,17000000,-11975630,True,1,14 22 26 42 50 8 10
2017-07-28,57871110,12665605,True,1,5 9 29 31 41 2 4
2017-08-08,36563144,8316548,True,1,15 25 26 40 41 4 5
2017-08-22,44105265,8509655,True,1,3 10 12 17 27 3 5
2017-08-25,17000000,-27105265,True,1,1 5 7 15 47 9 12
2017-09-01,28287321,11287321,True,1,3 7 8 14 49 5 8
2017-10-06,190000000,0,True,1,1 9 15 19 25 1 7
2017-10-24,65407072,9757089,True,1,9 11 13 27 33 7 10
2017-10-27,17000000,-48407072,True,1,3 16 23 32 39 1 4
2017-11-03,28709464,11709464,True,1,5 12 17 33 41 4 9
2017-12-19,135346147,8917093,True,1,8 15 30 38 46 4 7
2017-12-29,38906715,14189428,True,1,4 8 22 23 48 1 12
2018-02-23,88862248,-72259391,True,2,10 17 18 28 47 3 7
2018-03-13,61521581,10002952,True,1,9 11 13 33 49 6 12
2018-04-06,76119641,8396535,True,1,1 29 33 45 47 4 8
2018-04-10,17000000,-59119641,True,1,14 27 39 46 48 11 12
2018-04-24,138724202,8724202,True,1,20 23 28 30 44 3 7
2018-05-08,45566998,8621713,True,1,17 25 35 39 44 2 5
2018-06-01,37145179,-28991087,True,2,17 18 24 29 40 4 5
2018-06-05,17000000,-20145179,True,1,9 15 22 39 46 4 5
2018-06-08,17000000,0,True,1,8 19 32 43 46 2 8
2018-06-19,36158964,8086238,True,1,7 19 26 42 50 4 9
2018-07-10,65538512,9297416,True,1,3 8 26 33 45 7 10
2018-07-13,17000000,-48538512,True,1,1 4 14 21 49 2 12
2018-08-21,107839228,7943082,True,1,16 23 42 43 49 10 12
2018-09-04,45447459,8911473,True,1,5 14 28 30 47 4 11
2018-10-02,162403002,10526531,True,1,7 17 29 37 45 3 11
2018-10-05,17000000,-145403002,True,1,8 16 24 26 35 3 11
