date,jackpot_eur,delta_from_prev_eur,jackpot_won,jackpot_winners,numbers
2017-01-03,25365761,,False,,19 23 27 34 49 1 11
2017-01-06,37152275,11786514,False,,10 14 18 21 49 9 11
2017-01-10,46366060,9213785,False,,2 11 29 35 44 4 9
2017-01-13,61704972,15338912,False,,3 7 16 26 50 4 7
2017-01-17,72166973,10462001,False,,4 16 25 43 47 2 10
2017-01-20,81343945,9176972,False,,10 17 27 31 49 3 5
2017-01-24,88587275,7243330,True,1,1 5 7 17 23 3 8
2017-01-27,17000000,-71587275,False,,17 20 28 45 48 5 9
2017-01-31,25880509,8880509,True,1,3 4 17 23 44 6 9
2017-02-03,17000000,-8880509,False,,3 4 15 46 50 5 9
2017-02-07,25508738,8508738,False,,4 10 31 38 44 8 10
2017-02-10,37780526,12271788,False,,7 21 26 35 43 2 9
2017-02-14,23570709,-14209817,True,2,2 10 24 40 44 3 10
2017-02-17,17000000,-6570709,True,1,19 25 33 36 48 2 9
2017-02-21,17000000,0,False,,13 19 41 45 49 3 4
2017-02-24,28811184,11811184,False,,2 4 13 22 43 8 9
2017-02-28,37350465,8539281,False,,10 20 31 35 42 2 12
2017-03-03,50129162,12778697,False,,2 11 29 30 47 1 12
2017-03-07,59887734,9758572,False,,6 37 41 48 50 4 5
2017-03-10,73878559,13990825,False,,31 36 38 47 49 8 11
2017-03-14,80571199,6692640,True,1,3 5 21 36 44 3 6
2017-03-17,17000000,-63571199,False,,6 10 19 29 36 3 9
2017-03-21,25165271,8165271,False,,1 20 23 44 47 4 11
2017-03-24,36870612,11705341,False,,2 17 21 27 34 5 9
2017-03-28,45620295,8749683,False,,9 13 31 33 46 6 10
2017-03-31,58432785,12812490,False,,17 24 26 28 45 4 12
2017-04-04,68205609,9772824,False,,1 9 24 33 34 2 6
2017-04-07,76652439,8446830,False,,2 10 19 35 50 6 7
2017-04-11,83397527,6745088,True,1,5 21 22 31 49 2 8
2017-04-14,17000000,-66397527,False,,4 14 20 23 33 6 10
2017-04-18,24655351,7655351,False,,17 22 31 38 45 5 12
2017-04-21,36047523,11392172,False,,2 13 16 22 49 4 5
2017-04-25,44628596,8581073,False,,9 11 19 32 43 3 9
2017-04-28,57367995,12739399,False,,14 20 25 30 39 2 8
2017-05-02,66014926,8646931,False,,6 19 23 25 27 11 12
2017-05-05,74483969,8469043,False,,3 7 30 35 43 1 3
2017-05-09,81075587,6591618,False,,8 12 16 22 26 6 7
2017-05-12,90507120,9431533,False,,2 20 28 29 44 3 9
2017-05-16,98136932,7629812,False,,8 11 15 20 30 3 8
2017-05-19,109192063,11055131,False,,9 11 12 19 30 4 9
2017-05-23,118337309,9145246,False,,8 15 25 27 42 1 4
2017-05-26,130028601,11691292,False,,5 7 26 36 39 2 10
2017-05-30,139962741,9934140,False,,7 12 27 38 48 6 9
2017-06-02,153873716,13910975,True,1,8 10 24 33 42 3 9
2017-06-06,17000000,-136873716,False,,20 22 25 37 40 3 7
2017-06-09,29190553,12190553,False,,9 20 27 39 43 10 11
2017-06-13,38110538,8919985,False,,3 12 22 27 49 4 11
2017-06-16,50405630,12295092,False,,15 17 38 41 42 9 12
2017-06-20,59644334,9238704,False,,11 18 26 43 44 8 10
2017-06-23,72762689,13118355,False,,3 4 21 31 38 3 7
2017-06-27,79203977,6441288,False,,9 17 21 28 45 1 3
2017-06-30,100000000,20796023,True,1,17 35 39 47 50 6 8
2017-07-04,17000000,-83000000,False,,10 22 25 37 49 5 8
2017-07-07,28975630,11975630,True,1,11 20 35 37 45 3 6
2017-07-11,17000000,-11975630,True,1,14 22 26 42 50 8 10
2017-07-14,17000000,0,False,,11 14 20 21 47 7 10
2017-07-18,25104935,8104935,False,,1 25 27 41 45 5 7
2017-07-21,36567350,11462415,False,,1 8 9 26 49 5 9
2017-07-25,45205505,8638155,False,,12 14 43 44 48 2 11
2017-07-28,57871110,12665605,True,1,5 9 29 31 41 2 4
2017-08-01,17000000,-40871110,False,,14 21 24 29 30 8 10
2017-08-04,28246596,11246596,False,,29 30 36 40 41 2 9
2017-08-08,36563144,8316548,True,1,15 25 26 40 41 4 5
2017-08-11,17000000,-19563144,False,,18 28 39 46 48 5 12
2017-08-15,24238048,7238048,False,,10 14 30 35 46 4 10
2017-08-18,35595610,11357562,False,,2 24 39 42 45 2 8
2017-08-22,44105265,8509655,True,1,3 10 12 17 27 3 5
2017-08-25,17000000,-27105265,True,1,1 5 7 15 47 9 12
2017-08-29,17000000,0,False,,4 12 15 32 38 1 5
2017-09-01,28287321,11287321,True,1,3 7 8 14 49 5 8
2017-09-05,17000000,-11287321,False,,6 9 18 28 29 1 9
2017-09-08,28504963,11504963,False,,9 24 42 47 49 1 5
2017-09-12,37430146,8925183,False,,10 17 27 29 35 4 11
2017-09-15,130000000,92569854,False,,13 18 37 44 49 9 12
2017-09-19,139531727,9531727,False,,1 8 21 30 45 2 3
2017-09-22,152701510,13169783,False,,6 11 31 39 42 1 3
2017-09-26,163620565,10919055,False,,1 29 40 41 48 6 12
2017-09-29,178941891,15321326,False,,7 18 19 32 48 3 7
2017-10-03,190000000,11058109,False,,6 24 32 48 50 1 5
2017-10-06,190000000,0,True,1,1 9 15 19 25 1 7
2017-10-10,17000000,-173000000,False,,4 21 34 36 37 3 6
2017-10-13,33140110,16140110,False,,23 29 37 45 50 5 11
2017-10-17,42395360,9255250,False,,13 17 19 26 36 2 3
2017-10-20,55649983,13254623,False,,4 17 23 27 30 3 8
2017-10-24,65407072,9757089,True,1,9 11 13 27 33 7 10
2017-10-27,17000000,-48407072,True,1,3 16 23 32 39 1 4
2017-10-31,17000000,0,False,,1 12 36 43 46 3 5
2017-11-03,28709464,11709464,True,1,5 12 17 33 41 4 9
2017-11-07,17000000,-11709464,False,,7 19 20 37 41 2 12
2017-11-10,29800637,12800637,False,,13 22 29 36 37 1 9
2017-11-14,38477170,8676533,False,,14 16 39 40 41 8 10
2017-11-17,51634093,13156923,False,,20 26 35 36 42 5 12
2017-11-21,61046362,9412269,False,,2 10 14 28 31 5 7
2017-11-24,74515266,13468904,False,,19 24 28 30 50 3 10
2017-11-28,80976656,6461390,False,,1 6 12 18 42 2 7
2017-12-01,90060313,9083657,False,,5 24 29 35 46 11 12
2017-12-05,97420824,7360511,False,,11 36 43 44 48 2 7
2017-12-08,107213098,9792274,False,,4 22 30 32 34 3 4
2017-12-12,115458908,8245810,False,,20 37 39 44 50 4 8
2017-12-15,126429054,10970146,False,,25 30 31 42 50 2 11
2017-12-19,135346147,8917093,True,1,8 15 30 38 46 4 7
2017-12-22,17000000,-118346147,False,,5 24 30 31 43 3 6
2017-12-26,24717287,7717287,False,,4 17 30 43 44 2 10
2017-12-29,38906715,14189428,True,1,4 8 22 23 48 1 12
2018-01-02,17000000,-21906715,False,,10 20 21 28 48 1 8
2018-01-05,28911186,11911186,False,,2 5 20 38 41 4 8
2018-01-09,37933939,9022753,False,,6 12 15 38 49 2 9
2018-01-12,51154443,13220504,False,,13 21 23 30 45 4 6
2018-01-16,61162040,10007597,False,,20 23 31 34 46 3 12
2018-01-19,75062595,13900555,False,,3 8 17 44 50 2 7
2018-01-23,81794527,6731932,False,,5 8 9 23 24 7 8
2018-01-26,91021687,9227160,False,,6 15 24 28 48 4 9
2018-01-30,98248326,7226639,False,,11 15 21 27 35 4 5
2018-02-02,108738580,10490254,False,,14 34 36 39 48 2 3
2018-02-06,117593590,8855010,False,,8 17 28 34 38 6 12
2018-02-09,129291731,11698141,False,,22 31 36 38 44 1 11
2018-02-13,138421493,9129762,False,,10 13 17 21 44 1 10
2018-02-16,150559073,12137580,False,,10 12 23 32 50 4 10
2018-02-20,161121639,10562566,False,,6 14 19 25 29 5 11
2018-02-23,88862248,-72259391,True,2,10 17 18 28 47 3 7
2018-02-27,17000000,-71862248,False,,3 31 41 48 50 8 11
2018-03-02,29164810,12164810,False,,2 7 34 45 48 1 12
2018-03-06,38461488,9296678,False,,15 20 26 31 44 2 9
2018-03-09,51518629,13057141,False,,9 14 21 32 44 1 12
2018-03-13,61521581,10002952,True,1,9 11 13 33 49 6 12
2018-03-16,17000000,-44521581,False,,4 17 24 27 31 10 11
2018-03-20,25434576,8434576,False,,26 29 37 39 44 9 11
2018-03-23,37457697,12023121,False,,5 7 11 46 50 8 11
2018-03-27,46327391,8869694,False,,17 20 23 40 46 9 10
2018-03-30,58701124,12373733,False,,12 17 28 35 47 7 11
2018-04-03,67723106,9021982,False,,3 8 16 40 43 5 8
2018-04-06,76119641,8396535,True,1,1 29 33 45 47 4 8
2018-04-10,17000000,-59119641,True,1,14 27 39 46 48 11 12
2018-04-13,17000000,0,False,,5 25 34 48 50 6 7
2018-04-17,25723280,8723280,False,,15 27 33 39 50 4 6
2018-04-20,130000000,104276720,False,,3 16 25 39 44 7 11
2018-04-24,138724202,8724202,True,1,20 23 28 30 44 3 7
2018-04-27,17000000,-121724202,False,,12 24 40 41 46 5 12
2018-05-01,24728361,7728361,False,,6 15 17 42 48 4 6
2018-05-04,36945285,12216924,False,,6 12 23 39 45 9 12
2018-05-08,45566998,8621713,True,1,17 25 35 39 44 2 5
2018-05-11,17000000,-28566998,False,,3 22 34 49 50 8 11
2018-05-15,25146150,8146150,False,,4 16 20 31 39 2 12
2018-05-18,36663314,11517164,False,,5 8 10 13 31 3 6
2018-05-22,44872307,8208993,False,,1 11 37 41 48 8 12
2018-05-25,57140616,12268309,False,,13 15 16 28 41 4 5
2018-05-29,66136266,8995650,False,,6 11 20 38 43 2 4
2018-06-01,37145179,-28991087,True,2,17 18 24 29 40 4 5
2018-06-05,17000000,-20145179,True,1,9 15 22 39 46 4 5
2018-06-08,17000000,0,True,1,8 19 32 43 46 2 8
2018-06-12,17000000,0,False,,7 21 23 36 38 6 8
2018-06-15,28072726,11072726,False,,23 26 33 38 49 1 12
2018-06-19,36158964,8086238,True,1,7 19 26 42 50 4 9
2018-06-22,17000000,-19158964,False,,14 25 39 41 44 2 8
2018-06-26,24657714,7657714,False,,15 16 20 34 50 4 7
2018-06-29,35759659,11101945,False,,15 21 23 40 48 3 12
2018-07-03,44211418,8451759,False,,1 12 15 29 48 3 5
2018-07-06,56241096,12029678,False,,8 30 33 38 48 2 10
2018-07-10,65538512,9297416,True,1,3 8 26 33 45 7 10
2018-07-13,17000000,-48538512,True,1,1 4 14 21 49 2 12
2018-07-17,17000000,0,False,,4 6 27 48 50 1 11
2018-07-20,27914266,10914266,False,,2 15 40 43 46 3 6
2018-07-24,35993506,8079240,False,,2 4 23 39 40 3 9
2018-07-27,47636023,11642517,False,,11 17 22 23 41 6 11
2018-07-31,56774958,9138935,False,,20 25 34 42 45 6 11
2018-08-03,69369394,12594436,False,,7 26 36 38 43 6 12
2018-08-07,75479227,6109833,False,,16 28 29 30 36 8 10
2018-08-10,83831487,8352260,False,,18 20 36 43 44 3 9
2018-08-14,90786197,6954710,False,,1 15 18 25 31 9 11
2018-08-17,99896146,9109949,False,,2 15 18 24 43 8 12
2018-08-21,107839228,7943082,True,1,16 23 42 43 49 10 12
2018-08-24,17000000,-90839228,False,,3 14 31 36 50 1 12
2018-08-28,25031511,8031511,False,,4 16 32 42 46 8 12
2018-08-31,36535986,11504475,False,,4 30 31 38 42 4 6
2018-09-04,45447459,8911473,True,1,5 14 28 30 47 4 11
