date,jackpot_eur,jackpot_won,jackpot_winners,source
2017-01-01,2022895,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-01-04,770961,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-01-08,1818008,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-01-11,750465,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-01-15,1911533,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-01-18,3097591,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-01-22,4612223,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-01-25,3185928,1,2,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-01-29,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-02-01,754968,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-02-05,1922613,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-02-08,500000,1,2,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-02-12,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-02-15,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-02-19,863525,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-02-22,1821643,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-02-26,3062633,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-03-01,4485804,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-03-05,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-03-08,740998,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-03-12,1857718,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-03-15,3034710,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-03-19,2274690,1,2,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-03-22,746590,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-03-26,1838941,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-03-29,2970846,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-04-02,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-04-05,724911,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-04-09,1807674,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-04-12,2938442,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-04-16,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-04-19,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-04-23,823699,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-04-26,1745716,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-04-30,3004992,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-05-03,4271130,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-05-07,2034734,1,3,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-05-10,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-05-14,855261,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-05-17,1782264,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-05-21,3004829,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-05-24,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-05-28,779386,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-05-31,1691292,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-06-04,2929168,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-06-07,4175210,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-06-11,843894,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-06-14,905200,1,2,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-06-18,793607,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-06-21,1714970,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-06-25,2872635,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-06-28,4159887,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-07-02,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-07-05,712545,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-07-09,1752825,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-07-12,2820022,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-07-16,1422810,1,3,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-07-19,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-07-23,812553,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-07-26,1725108,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-07-30,2904326,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-08-02,4218113,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-08-06,826548,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-08-09,1770277,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-08-13,2969016,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-08-16,677463,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-08-20,1718397,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-08-23,1000000,1,1,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-08-27,333333,1,3,win2day:NN_W2D_STAT_Lotto_2017.csv
2017-08-30,699747,0,,win2day:NN_W2D_STAT_Lotto_2017.csv
