date,jackpot_eur,jackpot_won,jackpot_winners,source
2017-01-03,25365761,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-01-06,37152275,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-01-10,46366060,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-01-13,61704972,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-01-17,72166973,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-01-20,81343945,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-01-24,88587275,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-01-27,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-01-31,25880509,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-02-03,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-02-07,25508738,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-02-10,37780526,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-02-14,23570709,1,2,win2day:NN_W2D_STAT_EUML_2017.csv
2017-02-17,17000000,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-02-21,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-02-24,28811184,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-02-28,37350465,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-03-03,50129162,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-03-07,59887734,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-03-10,73878559,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-03-14,80571199,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-03-17,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-03-21,25165271,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-03-24,36870612,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-03-28,45620295,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-03-31,58432785,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-04-04,68205609,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-04-07,76652439,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-04-11,83397527,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-04-14,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-04-18,24655351,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-04-21,36047523,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-04-25,44628596,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-04-28,57367995,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-05-02,66014926,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-05-05,74483969,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-05-09,81075587,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-05-12,90507120,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-05-16,98136932,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-05-19,109192063,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-05-23,118337309,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-05-26,130028601,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-05-30,139962741,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-06-02,153873716,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-06-06,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-06-09,29190553,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-06-13,38110538,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-06-16,50405630,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-06-20,59644334,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-06-23,72762689,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-06-27,79203977,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-06-30,100000000,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-07-04,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-07-07,28975630,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-07-11,17000000,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-07-14,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-07-18,25104935,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-07-21,36567350,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-07-25,45205505,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-07-28,57871110,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-08-01,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-08-04,28246596,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-08-08,36563144,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-08-11,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-08-15,24238048,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-08-18,35595610,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-08-22,44105265,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-08-25,17000000,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-08-29,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-09-01,28287321,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-09-05,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-09-08,28504963,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-09-12,37430146,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-09-15,130000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-09-19,139531727,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-09-22,152701510,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-09-26,163620565,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-09-29,178941891,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-10-03,190000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-10-06,190000000,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-10-10,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-10-13,33140110,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-10-17,42395360,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-10-20,55649983,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-10-24,65407072,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-10-27,17000000,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-10-31,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-11-03,28709464,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-11-07,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-11-10,29800637,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-11-14,38477170,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-11-17,51634093,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-11-21,61046362,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-11-24,74515266,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-11-28,80976656,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-12-01,90060313,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-12-05,97420824,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-12-08,107213098,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-12-12,115458908,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-12-15,126429054,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-12-19,135346147,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2017-12-22,17000000,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-12-26,24717287,0,,win2day:NN_W2D_STAT_EUML_2017.csv
2017-12-29,38906715,1,1,win2day:NN_W2D_STAT_EUML_2017.csv
2018-01-02,17000000,0,,win2day:NN_W2D_STAT_EUML_2018.csv
2018-01-05,28911186,0,,win2day:NN_W2D_STAT_EUML_2018.csv
2018-01-09,37933939,0,,win2day:NN_W2D_STAT_EUML_2018.csv
2018-01-12,51154443,0,,win2day:NN_W2D_STAT_EUML_2018.csv
2018-01-16,61162040,0,,win2day:NN_W2D_STAT_EUML_2018.csv
2018-01-19,75062595,0,,win2day:NN_W2D_STAT_EUML_2018.csv
2018-01-23,81794527,0,,win2day:NN_W2D_STAT_EUML_2018.csv
2018-01-26,91021687,0,,win2day:NN_W2D_STAT_EUML_2018.csv
2018-01-30,98248326,0,,win2day:NN_W2D_STAT_EUML_2018.csv
2018-02-02,108738580,0,,win2day:NN_W2D_STAT_EUML_2018.csv
